Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Cowdog,"Bath Rock - East > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/109496296/cowdog,1.7,-1,Trad,"5.4 R",1,200,42.07583,-113.72191
"Trip to Iraq","Lower Decadent - Asian Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741500/trip-to-iraq,2.0,-1,Trad,5.7,1,100,42.0867,-113.7292
Suprise,"Parking Lot Rock - West > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/112223371/suprise,1.4,-1,Trad,5.7+,1,60,42.08342,-113.72294
"Easy Movements","Suncup Slab > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/117097436/easy-movements,2.0,-1,Trad,5.5,2,,42.04329,-113.7191
"Wash Out","Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/111941386/wash-out,2.0,-1,Trad,"5.10 PG13",1,115,42.06739,-113.70894
"The Egyptian (Face)","Upper Breadloaves - East > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/111269667/the-egyptian-face,2.0,-1,Trad,"5.8 PG13",1,180,42.08784,-113.72878
"Upper Cannibal Middle","Cannibal Corridor > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106432303/upper-cannibal-middle,2.0,-1,"Trad, Sport",5.10a,1,70,42.07757,-113.71282
"Little Problem","Practice Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741659/little-problem,1.7,-1,TR,5.9,1,50,42.07125,-113.70772
"Toddlers and Toadstools","Toad Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/115451976/toddlers-and-toadstools,2.0,-1,Trad,5.3,1,35,42.06953,-113.70961
"Pluton Playground","Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107344094/pluton-playground,1.5,-1,Trad,5.5,1,175,42.08612,-113.72944
"Sportin' A Woody","Lower Decadent - Asian Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/111051894/sportin-a-woody,2.0,-1,Trad,5.10a,1,50,42.0867,-113.7292
"Yankee Clipper","Drilling Fields - Lost World > Drilling Fields > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106765460/yankee-clipper,1.7,-1,Sport,5.10b,1,140,42.0823,-113.7177
Radachello,"Flaming Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/113348528/radachello,2.0,-1,"Trad, TR",5.7,1,110,42.07673,-113.7137
Yahoo,"Great Wall > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/120740968/yahoo,2.0,-1,Trad,5.9,2,,42.09522,-113.70837
"Just for Funzies","Lower Decadent - Asian Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/119137967/just-for-funzies,2.0,-1,Trad,5.6,2,120,42.0867,-113.7292
"McKenzie's Crack","Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108207594/mckenzies-crack,2.0,-1,Trad,5.7,1,20,42.08612,-113.72944
"Suncup Slab aka Outhouse Slab","Suncup Slab > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/118061168/suncup-slab-aka-outhouse-slab,2.0,-1,Trad,"5.8 PG13",2,143,42.04329,-113.7191
"Brass Monkey","Bumblie Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/114499163/brass-monkey,2.0,-1,Trad,"5.10a PG13",1,150,42.07848,-113.7135
"Wide 8","Rabbit Rock - Northeast > Rabbit Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/114530974/wide-8,2.0,-1,Trad,5.8,1,110,42.08358,-113.72075
"Passion for a Thrashin'","Lower Decadent - Asian Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/119124303/passion-for-a-thrashin,2.0,-1,Trad,"5.5 R",1,80,42.0867,-113.7292
"Salty Dog","Finger Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/113457481/salty-dog,2.0,-1,Trad,5.10a/b,1,85,42.10229,-113.74263
"Unknown Chimney","Finger Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/113457497/unknown-chimney,2.0,-1,Trad,"5.9- R",1,80,42.10229,-113.74263
"Checkerboard Wall","Shangri La > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/111991191/checkerboard-wall,2.0,-1,Trad,5.10,1,120,42.0961,-113.7193
"Rat Crack","Shangri La > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/111991261/rat-crack,2.0,-1,Trad,5.10a,1,80,42.0961,-113.7193
"Peppermint Patty","Nameless Tower > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108227186/peppermint-patty,1.8,-1,Sport,5.9,2,200,42.09858,-113.70916
"Easiest Route","Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108216040/easiest-route,1.4,-1,Trad,5.5,1,100,42.08282,-113.72147
"Full Fledged","Owl Rock - West > Owl Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/114538877/full-fledged,1.6,-1,Trad,5.8,1,60,42.0856,-113.72833
"Biliary Tree","Gallstone, The > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/110262602/biliary-tree,1.3,-1,Trad,5.8,1,90,42.06578,-113.70841
Moderate,"Indian Chief Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/111754315/moderate,1.6,-1,Trad,5.8,1,60,42.04135,-113.71739
Columbine,"Animal Cracker Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/111941530/columbine,1.7,-1,Trad,"5.9 PG13",1,170,42.08716,-113.72271
Loafers,"Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/110651596/loafers,1.5,-1,"Trad, TR",5.4,1,,42.08612,-113.72944
"Touchy Feely","Practice Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741653/touchy-feely,1.5,-1,TR,5.9+,1,50,42.07125,-113.70772
"track marks","Anteater - West > Anteater Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/111169753/track-marks,1.5,-1,Trad,5.9+,1,50,42.08229,-113.7218
